,Positions:,"Second Counselor in the First Presidency, called by Brigham Young, December 27, 1847 (1847-12-27) – March 11, 1854 (1854-03-11)
Quorum of the Twelve Apostles, called by Joseph Smith, April 14, 1840 (1840-04-14) – December 27, 1847 (1847-12-27)
LDS Church Apostle, called by Joseph Smith, April 14, 1840 (1840-04-14) – March 11, 1854 (1854-03-11)","Second Counselor in the First Presidency, called by Brigham Young, December 27, 1847 (1847-12-27) – March 11, 1854 (1854-03-11)
Quorum of the Twelve Apostles, called by Joseph Smith, April 14, 1840 (1840-04-14) – December 27, 1847 (1847-12-27)
LDS Church Apostle, called by Joseph Smith, April 14, 1840 (1840-04-14) – March 11, 1854 (1854-03-11)"
,Notes:,"Richards was incarcerated in Carthage Jail with Joseph Smith, Hyrum Smith and John Taylor on June 27, 1844, when the jail was attacked by a mob and the Smith brothers were murdered.","Richards was incarcerated in Carthage Jail with Joseph Smith, Hyrum Smith and John Taylor on June 27, 1844, when the jail was attacked by a mob and the Smith brothers were murdered."
,Name:,Lyman Wight,Lyman Wight
,Born:,"(1796-05-09)May 9, 1796","(1796-05-09)May 9, 1796"
,Died:,"March 31, 1858(1858-03-31) (aged 61)","March 31, 1858(1858-03-31) (aged 61)"
,Positions:,"President of the Church of Christ, 1844 – 1858
Quorum of the Twelve Apostles, called by Joseph Smith, April 8, 1841 (1841-04-08) – December 3, 1848 (1848-12-03)
Latter Day Saint Apostle, called by Joseph Smith, April 8, 1841 (1841-04-08) – December 3, 1848 (1848-12-03)","President of the Church of Christ, 1844 – 1858
Quorum of the Twelve Apostles, called by Joseph Smith, April 8, 1841 (1841-04-08) – December 3, 1848 (1848-12-03)
Latter Day Saint Apostle, called by Joseph Smith, April 8, 1841 (1841-04-08) – December 3, 1848 (1848-12-03)"
,Notes:,"After the death of Joseph Smith, Wight felt compelled to follow the orders Joseph Smith had given him to found a safe haven for the Latter-day Saints in the Republic of Texas. Brigham Young tried to get Wight and his group to join the main body of Mormonism, in Utah, several times, but Wight refused each time. Wight was eventually excommunicated in December 1848.","After the death of Joseph Smith, Wight felt compelled to follow the orders Joseph Smith had given him to found a safe haven for the Latter-day Saints in the Republic of Texas. Brigham Young tried to get Wight and his group to join the main body of Mormonism, in Utah, several times, but Wight refused each time. Wight was eventually excommunicated in December 1848."
,Name:,Amasa Lyman,Amasa Lyman
,Born:,"(1813-03-30)March 30, 1813","(1813-03-30)March 30, 1813"
,Died:,"February 4, 1877(1877-02-04) (aged 63)","February 4, 1877(1877-02-04) (aged 63)"
,Positions:,"Quorum of the Twelve Apostles, October 6, 1845 (1845-10-06) – October 6, 1867 (1867-10-06)
Counselor in the First Presidency, called by Joseph Smith, February 4, 1843 (1843-02-04) – June 27, 1844 (1844-06-27)
Quorum of the Twelve Apostles, called by Joseph Smith, August 20, 1842 (1842-08-20) – January 20, 1843 (1843-01-20)
Latter Day Saint Apostle, called by Joseph Smith, August 20, 1842 (1842-08-20) – October 6, 1867 (1867-10-06)","Quorum of the Twelve Apostles, October 6, 1845 (1845-10-06) – October 6, 1867 (1867-10-06)
Counselor in the First Presidency, called by Joseph Smith, February 4, 1843 (1843-02-04) – June 27, 1844 (1844-06-27)
Quorum of the Twelve Apostles, called by Joseph Smith, August 20, 1842 (1842-08-20) – January 20, 1843 (1843-01-20)
Latter Day Saint Apostle, called by Joseph Smith, August 20, 1842 (1842-08-20) – October 6, 1867 (1867-10-06)"
,Notes:,"Was temporarily removed from the Quorum of the Twelve due to the re-entry of Orson Pratt on January 20, 1843; Lyman was later readmitted on August 12, 1844. Lyman was excommunicated for apostasy on May 6, 1867.","Was temporarily removed from the Quorum of the Twelve due to the re-entry of Orson Pratt on January 20, 1843; Lyman was later readmitted on August 12, 1844. Lyman was excommunicated for apostasy on May 6, 1867."
,Name:,Ezra T. Benson,Ezra T. Benson
,Born:,"(1811-02-22)February 22, 1811","(1811-02-22)February 22, 1811"
,Died:,"September 3, 1869(1869-09-03) (aged 58)","September 3, 1869(1869-09-03) (aged 58)"
,Positions:,"Quorum of the Twelve Apostles, called by Brigham Young, July 16, 1846 (1846-07-16) – September 3, 1869 (1869-09-03)
LDS Church Apostle, called by Brigham Young, July 16, 1846 (1846-07-16) – September 3, 1869 (1869-09-03)","Quorum of the Twelve Apostles, called by Brigham Young, July 16, 1846 (1846-07-16) – September 3, 1869 (1869-09-03)
LDS Church Apostle, called by Brigham Young, July 16, 1846 (1846-07-16) – September 3, 1869 (1869-09-03)"
,Notes:,"Great-grandfather of the thirteenth president of the LDS church, Ezra Taft Benson","Great-grandfather of the thirteenth president of the LDS church, Ezra Taft Benson"
,Name:,Charles C. Rich,Charles C. Rich
,Born:,"(1809-08-21)August 21, 1809","(1809-08-21)August 21, 1809"
,Died:,"November 17, 1883(1883-11-17) (aged 74)","November 17, 1883(1883-11-17) (aged 74)"
,Positions:,"Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – November 17, 1883 (1883-11-17)
LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – November 17, 1883 (1883-11-17)","Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – November 17, 1883 (1883-11-17)
LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – November 17, 1883 (1883-11-17)"
,Notes:,Was also a member of the Council of Fifty.,Was also a member of the Council of Fifty.
,Name:,Lorenzo Snow,Lorenzo Snow
,Born:,"(1814-04-03)April 3, 1814","(1814-04-03)April 3, 1814"
,Died:,"October 10, 1901(1901-10-10) (aged 87)","October 10, 1901(1901-10-10) (aged 87)"
,Positions:,"5th President of the Church of Jesus Christ of Latter-day Saints, September 13, 1898 (1898-09-13) – October 10, 1901 (1901-10-10)
President of the Quorum of the Twelve Apostles, April 7, 1889 (1889-04-07) – September 13, 1898 (1898-09-13)
Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – September 13, 1898 (1898-09-13)
Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)
Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)
Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – June 8, 1873 (1873-06-08)
LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – October 10, 1901 (1901-10-10)","5th President of the Church of Jesus Christ of Latter-day Saints, September 13, 1898 (1898-09-13) – October 10, 1901 (1901-10-10)
President of the Quorum of the Twelve Apostles, April 7, 1889 (1889-04-07) – September 13, 1898 (1898-09-13)
Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – September 13, 1898 (1898-09-13)
Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)
Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)
Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – June 8, 1873 (1873-06-08)
LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – October 10, 1901 (1901-10-10)"
,Notes:,Brother-in-law of both Joseph Smith and Brigham Young through Eliza R. Snow.,Brother-in-law of both Joseph Smith and Brigham Young through Eliza R. Snow.
,Name:,Erastus Snow,Erastus Snow
,Born:,"(1818-11-09)November 9, 1818","(1818-11-09)November 9, 1818"
,Died:,"May 27, 1888(1888-05-27) (aged 69)","May 27, 1888(1888-05-27) (aged 69)"
,Positions:,"Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – May 27, 1888 (1888-05-27)
LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – May 27, 1888 (1888-05-27)","Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – May 27, 1888 (1888-05-27)
LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – May 27, 1888 (1888-05-27)"
,Notes:,Was also a member of the Council of Fifty,Was also a member of the Council of Fifty
,Name:,Franklin D. Richards I,Franklin D. Richards I
,Born:,"(1821-04-02)April 2, 1821","(1821-04-02)April 2, 1821"
,Died:,"December 9, 1899(1899-12-09) (aged 78)","December 9, 1899(1899-12-09) (aged 78)"
,Positions:,"President of the Quorum of the Twelve Apostles, September 13, 1898 (1898-09-13) – December 9, 1899 (1899-12-09)
Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – December 9, 1899 (1899-12-09)
LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – December 9, 1899 (1899-12-09)","President of the Quorum of the Twelve Apostles, September 13, 1898 (1898-09-13) – December 9, 1899 (1899-12-09)
Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – December 9, 1899 (1899-12-09)
LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – December 9, 1899 (1899-12-09)"
,Name:,George Q. Cannon,George Q. Cannon
,Born:,"(1827-01-11)January 11, 1827","(1827-01-11)January 11, 1827"
,Died:,"April 12, 1901(1901-04-12) (aged 74)","April 12, 1901(1901-04-12) (aged 74)"
,Positions:,"First Counselor in the First Presidency, called by Lorenzo Snow, September 13, 1898 (1898-09-13) – April 12, 1901 (1901-04-12)
First Counselor in the First Presidency, called by Wilford Woodruff, April 7, 1889 (1889-04-07) – September 2, 1898 (1898-09-02)
Quorum of the Twelve Apostles, July 25, 1887 (1887-07-25) – April 7, 1889 (1889-04-07)
First Counselor in the First Presidency, called by John Taylor, October 10, 1880 (1880-10-10) – July 25, 1887 (1887-07-25)
Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – October 10, 1880 (1880-10-10)
Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)
Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)
Quorum of the Twelve Apostles, called by Brigham Young, August 26, 1860 (1860-08-26) – June 8, 1873 (1873-06-08)
LDS Church Apostle, called by Brigham Young, August 26, 1860 (1860-08-26) – April 12, 1901 (1901-04-12)","First Counselor in the First Presidency, called by Lorenzo Snow, September 13, 1898 (1898-09-13) – April 12, 1901 (1901-04-12)
First Counselor in the First Presidency, called by Wilford Woodruff, April 7, 1889 (1889-04-07) – September 2, 1898 (1898-09-02)
Quorum of the Twelve Apostles, July 25, 1887 (1887-07-25) – April 7, 1889 (1889-04-07)
First Counselor in the First Presidency, called by John Taylor, October 10, 1880 (1880-10-10) – July 25, 1887 (1887-07-25)
Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – October 10, 1880 (1880-10-10)
Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)
Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)
Quorum of the Twelve Apostles, called by Brigham Young, August 26, 1860 (1860-08-26) – June 8, 1873 (1873-06-08)
LDS Church Apostle, called by Brigham Young, August 26, 1860 (1860-08-26) – April 12, 1901 (1901-04-12)"
,Notes:,Convicted of unlawful cohabitation in 1886 and imprisoned for six months.,Convicted of unlawful cohabitation in 1886 and imprisoned for six months.
,Name:,Joseph F. Smith,Joseph F. Smith
,Born:,"(1838-11-13)November 13, 1838","(1838-11-13)November 13, 1838"
,Died:,"November 19, 1918(1918-11-19) (aged 80)","November 19, 1918(1918-11-19) (aged 80)"
,Positions:,"6th President of the Church of Jesus Christ of Latter-day Saints, October 17, 1901 (1901-10-17) – November 19, 1918 (1918-11-19)
President of the Quorum of the Twelve Apostles, October 10, 1901 (1901-10-10) – October 17, 1901 (1901-10-17)
First Counselor in the First Presidency, called by Lorenzo Snow, October 6, 1901 (1901-10-06) – October 10, 1901 (1901-10-10)
Second Counselor in the First Presidency, called by Wilford Woodruff, April 7, 1889 (1889-04-07) – October 6, 1901 (1901-10-06)
Quorum of the Twelve Apostles, July 25, 1887 (1887-07-25) – April 7, 1889 (1889-04-07)
Second Counselor in the First Presidency, called by John Taylor, October 10, 1880 (1880-10-10) – July 25, 1887 (1887-07-25)
Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – October 10, 1880 (1880-10-10)
Counselor in the First Presidency, called by Brigham Young, July 1, 1866 (1866-07-01) – August 29, 1877 (1877-08-29)
LDS Church Apostle, called by Brigham Young, July 1, 1866 (1866-07-01) – November 19, 1918 (1918-11-19T1838)","6th President of the Church of Jesus Christ of Latter-day Saints, October 17, 1901 (1901-10-17) – November 19, 1918 (1918-11-19)
President of the Quorum of the Twelve Apostles, October 10, 1901 (1901-10-10) – October 17, 1901 (1901-10-17)
First Counselor in the First Presidency, called by Lorenzo Snow, October 6, 1901 (1901-10-06) – October 10, 1901 (1901-10-10)
Second Counselor in the First Presidency, called by Wilford Woodruff, April 7, 1889 (1889-04-07) – October 6, 1901 (1901-10-06)
Quorum of the Twelve Apostles, July 25, 1887 (1887-07-25) – April 7, 1889 (1889-04-07)
Second Counselor in the First Presidency, called by John Taylor, October 10, 1880 (1880-10-10) – July 25, 1887 (1887-07-25)
Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – October 10, 1880 (1880-10-10)
Counselor in the First Presidency, called by Brigham Young, July 1, 1866 (1866-07-01) – August 29, 1877 (1877-08-29)
LDS Church Apostle, called by Brigham Young, July 1, 1866 (1866-07-01) – November 19, 1918 (1918-11-19T1838)"
,Notes:,"Son of Hyrum Smith, and nephew of Joseph Smith","Son of Hyrum Smith, and nephew of Joseph Smith"
,Name:,Brigham Young Jr.,Brigham Young Jr.
,Born:,"(1836-12-18)December 18, 1836","(1836-12-18)December 18, 1836"
,Died:,"April 11, 1903(1903-04-11) (aged 66)","April 11, 1903(1903-04-11) (aged 66)"
,Positions:,"President of the Quorum of the Twelve Apostles, October 17, 1901 (1901-10-17) – April 11, 1903 (1903-04-11)
Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – April 11, 1903 (1903-04-11)
Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)
Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)
Quorum of the Twelve Apostles, called by Brigham Young, October 9, 1868 (1868-10-09) – June 8, 1873 (1873-06-08)
LDS Church Apostle, called by Brigham Young, February 4, 1864 (1864-02-04) – April 11, 1903 (1903-04-11)","President of the Quorum of the Twelve Apostles, October 17, 1901 (1901-10-17) – April 11, 1903 (1903-04-11)
Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – April 11, 1903 (1903-04-11)
Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)
Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)
Quorum of the Twelve Apostles, called by Brigham Young, October 9, 1868 (1868-10-09) – June 8, 1873 (1873-06-08)
LDS Church Apostle, called by Brigham Young, February 4, 1864 (1864-02-04) – April 11, 1903 (1903-04-11)"
,Notes:,"Son of Brigham Young. Was ordained an apostle in 1864, but did not become member of the Quorum until 1868. Also served several terms in the Utah Territorial Legislature.","Son of Brigham Young. Was ordained an apostle in 1864, but did not become member of the Quorum until 1868. Also served several terms in the Utah Territorial Legislature."
,Name:,Albert Carrington,Albert Carrington
,Born:,"(1813-01-08)January 8, 1813","(1813-01-08)January 8, 1813"
,Died:,"September 19, 1889(1889-09-19) (aged 76)","September 19, 1889(1889-09-19) (aged 76)"
,Positions:,"Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – November 7, 1885 (1885-11-07)
Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)
Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)
Quorum of the Twelve Apostles, called by Brigham Young, July 3, 1870 (1870-07-03) – June 8, 1873 (1873-06-08)
LDS Church Apostle, called by Brigham Young, July 3, 1870 (1870-07-03) – November 7, 1885 (1885-11-07)","Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – November 7, 1885 (1885-11-07)
Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)
Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)
Quorum of the Twelve Apostles, called by Brigham Young, July 3, 1870 (1870-07-03) – June 8, 1873 (1873-06-08)
LDS Church Apostle, called by Brigham Young, July 3, 1870 (1870-07-03) – November 7, 1885 (1885-11-07)"
,Notes:,"Also served as an official Church Historian (1871–1874), as a member of the Council of Fifty and in the Utah Territorial Legislature (1869). Was excommunicated for adultery November 7, 1885, and later rebaptized on November 1, 1887; however, he was not reinstated as an apostle or as a general authority.","Also served as an official Church Historian (1871–1874), as a member of the Council of Fifty and in the Utah Territorial Legislature (1869). Was excommunicated for adultery November 7, 1885, and later rebaptized on November 1, 1887; however, he was not reinstated as an apostle or as a general authority."
,Name:,Moses Thatcher,Moses Thatcher
,Born:,"(1842-02-02)February 2, 1842","(1842-02-02)February 2, 1842"
,Died:,"August 21, 1909(1909-08-21) (aged 67)","August 21, 1909(1909-08-21) (aged 67)"
,Positions:,"Quorum of the Twelve Apostles, called by John Taylor, April 9, 1879 (1879-04-09) – April 6, 1896 (1896-04-06)
LDS Church Apostle, called by John Taylor, April 9, 1879 (1879-04-09) – August 21, 1909 (1909-08-21)","Quorum of the Twelve Apostles, called by John Taylor, April 9, 1879 (1879-04-09) – April 6, 1896 (1896-04-06)
LDS Church Apostle, called by John Taylor, April 9, 1879 (1879-04-09) – August 21, 1909 (1909-08-21)"
,Notes:,"Also a member of the Council of Fifty.  At the April 1896 General Conference of the church, Thatcher was released from the Quorum of the Twelve; however, Thatcher was not excommunicated from the church and held the priesthood office of Apostle until his death.","Also a member of the Council of Fifty.  At the April 1896 General Conference of the church, Thatcher was released from the Quorum of the Twelve; however, Thatcher was not excommunicated from the church and held the priesthood office of Apostle until his death."
,Name:,Francis M. Lyman,Francis M. Lyman
,Born:,"(1840-01-12)January 12, 1840","(1840-01-12)January 12, 1840"
,Died:,"November 18, 1916(1916-11-18) (aged 76)","November 18, 1916(1916-11-18) (aged 76)"
,Positions:,"President of the Quorum of the Twelve Apostles, October 6, 1903 (1903-10-06) – November 18, 1916 (1916-11-18)
Quorum of the Twelve Apostles, called by John Taylor, October 27, 1880 (1880-10-27) – November 18, 1916 (1916-11-18)
LDS Church Apostle, called by John Taylor, October 27, 1880 (1880-10-27) – November 18, 1916 (1916-11-18)","President of the Quorum of the Twelve Apostles, October 6, 1903 (1903-10-06) – November 18, 1916 (1916-11-18)
Quorum of the Twelve Apostles, called by John Taylor, October 27, 1880 (1880-10-27) – November 18, 1916 (1916-11-18)
LDS Church Apostle, called by John Taylor, October 27, 1880 (1880-10-27) – November 18, 1916 (1916-11-18)"
,Notes:,Member of the Council of Fifty. Son of Amasa Lyman.,Member of the Council of Fifty. Son of Amasa Lyman.
,Name:,John Henry Smith,John Henry Smith
,Born:,"(1848-09-18)September 18, 1848","(1848-09-18)September 18, 1848"
,Died:,"October 13, 1911(1911-10-13) (aged 63)","October 13, 1911(1911-10-13) (aged 63)"
,Positions:,"Second Counselor in the First Presidency, called by Joseph F. Smith, April 7, 1910 (1910-04-07) – October 13, 1911 (1911-10-13)
Quorum of the Twelve Apostles, called by John Taylor, October 27, 1880 (1880-10-27) – April 7, 1910 (1910-04-07)
LDS Church Apostle, called by John Taylor, October 27, 1880 (1880-10-27) – October 13, 1911 (1911-10-13)","Second Counselor in the First Presidency, called by Joseph F. Smith, April 7, 1910 (1910-04-07) – October 13, 1911 (1911-10-13)
Quorum of the Twelve Apostles, called by John Taylor, October 27, 1880 (1880-10-27) – April 7, 1910 (1910-04-07)
LDS Church Apostle, called by John Taylor, October 27, 1880 (1880-10-27) – October 13, 1911 (1911-10-13)"
,Notes:,"Son of George A. Smith. After being elected a member of the Utah Territorial Legislature in 1882, he played an important role in the process whereby Utah made the transition from a territory to a state of the United States.","Son of George A. Smith. After being elected a member of the Utah Territorial Legislature in 1882, he played an important role in the process whereby Utah made the transition from a territory to a state of the United States."
,Name:,George Teasdale,George Teasdale
,Born:,(1831-12-08)8 December 1831,(1831-12-08)8 December 1831
,Died:,9 June 1907(1907-06-09) (aged 75),9 June 1907(1907-06-09) (aged 75)
,Positions:,"Quorum of the Twelve Apostles, called by John Taylor, 16 October 1882 (1882-10-16) – 9 June 1907 (1907-06-09)
LDS Church Apostle, called by John Taylor, 16 October 1882 (1882-10-16) – 9 June 1907 (1907-06-09)","Quorum of the Twelve Apostles, called by John Taylor, 16 October 1882 (1882-10-16) – 9 June 1907 (1907-06-09)
LDS Church Apostle, called by John Taylor, 16 October 1882 (1882-10-16) – 9 June 1907 (1907-06-09)"
,Notes:,Was also a member of the Council of Fifty.,Was also a member of the Council of Fifty.
,Name:,Heber J. Grant,Heber J. Grant
,Born:,"(1856-11-22)November 22, 1856","(1856-11-22)November 22, 1856"
,Died:,"May 14, 1945(1945-05-14) (aged 88)","May 14, 1945(1945-05-14) (aged 88)"
,Positions:,"7th President of the Church of Jesus Christ of Latter-day Saints, November 23, 1918 (1918-11-23) – May 14, 1945 (1945-05-14)
President of the Quorum of the Twelve Apostles, November 18, 1916 (1916-11-18) – November 23, 1918 (1918-11-23)
Quorum of the Twelve Apostles, called by John Taylor, October 16, 1882 (1882-10-16) – November 23, 1918 (1918-11-23)
LDS Church Apostle, called by John Taylor, October 16, 1882 (1882-10-16) – May 14, 1945 (1945-05-14)","7th President of the Church of Jesus Christ of Latter-day Saints, November 23, 1918 (1918-11-23) – May 14, 1945 (1945-05-14)
President of the Quorum of the Twelve Apostles, November 18, 1916 (1916-11-18) – November 23, 1918 (1918-11-23)
Quorum of the Twelve Apostles, called by John Taylor, October 16, 1882 (1882-10-16) – November 23, 1918 (1918-11-23)
LDS Church Apostle, called by John Taylor, October 16, 1882 (1882-10-16) – May 14, 1945 (1945-05-14)"
,Notes:,"Grant succeeded Joseph F. Smith as president of the LDS Church in November 1918. However, he was not sustained in the position by the general church membership until June 1919, as the influenza pandemic of 1918 forced a delay of the church's traditional springtime general conference.","Grant succeeded Joseph F. Smith as president of the LDS Church in November 1918. However, he was not sustained in the position by the general church membership until June 1919, as the influenza pandemic of 1918 forced a delay of the church's traditional springtime general conference."
,Name:,John W. Taylor,John W. Taylor
,Born:,"(1858-05-15)May 15, 1858","(1858-05-15)May 15, 1858"
,Died:,"October 10, 1916(1916-10-10) (aged 58)","October 10, 1916(1916-10-10) (aged 58)"
