Year,Membership,Number change,Percentage growth,"Average % growth
(starting 1860 on)","7-Year Average
(3 years either side)"
1938,"784,764","17,012",2.22%,3.39%,2.91%
1939,"803,528","18,764",2.39%,3.37%,3.01%
1940,"862,664","59,136",7.36%,3.42%,3.04%
1941,"892,080","29,416",3.41%,3.42%,3.17%
1942,"917,715","25,635",2.87%,3.42%,3.23%
1943,"937,050","19,335",2.11%,3.40%,3.14%
1944,"954,004","16,954",1.81%,3.38%,2.37%
1945,"979,454","25,450",2.67%,3.37%,2.24%
1946,"996,505","17,051",1.74%,3.35%,2.34%
1947,"1,016,170","19,665",1.97%,3.34%,2.47%
1948,"1,041,970","25,800",2.54%,3.33%,2.67%
1949,"1,078,671","36,701",3.52%,3.33%,2.81%
1950,"1,111,314","32,643",3.03%,3.33%,3.25%
1951,"1,147,157","35,843",3.23%,3.33%,3.61%
1952,"1,189,053","41,896",3.65%,3.33%,3.85%
1953,"1,246,362","57,309",4.82%,3.35%,3.97%
1954,"1,302,240","55,878",4.48%,3.36%,4.26%
1955,"1,357,274","55,034",4.23%,3.37%,4.45%
1956,"1,416,731","59,457",4.38%,3.38%,4.48%
1957,"1,488,314","71,583",5.05%,3.40%,4.47%
1958,"1,555,799","67,485",4.53%,3.41%,4.94%
1959,"1,616,088","60,289",3.88%,3.41%,5.44%
1960,"1,693,180","77,092",4.77%,3.43%,5.92%
1961,"1,823,661","130,481",7.71%,3.47%,5.99%
1962,"1,965,786","142,125",7.79%,3.51%,6.37%
1963,"2,117,451","151,665",7.72%,3.55%,6.33%
1964,"2,234,916","117,465",5.55%,3.57%,6.41%
1965,"2,395,932","161,016",7.20%,3.60%,5.69%
1966,"2,480,899","84,967",3.55%,3.60%,5.24%
1967,"2,614,340","133,441",5.38%,3.62%,4.76%
1968,"2,684,073","69,733",2.67%,3.61%,4.75%
1969,"2,807,456","123,383",4.60%,3.62%,4.31%
1970,"2,930,810","123,354",4.39%,3.63%,4.20%
1971,"3,090,953","160,143",5.46%,3.64%,3.87%
1972,"3,218,908","127,955",4.14%,3.65%,4.17%
1973,"3,306,658","87,750",2.73%,3.64%,4.20%
1974,"3,409,987","103,329",3.12%,3.63%,4.43%
1975,"3,572,202","162,215",4.76%,3.64%,4.36%
1976,"3,742,749","170,547",4.77%,3.65%,4.59%
1977,"3,969,220","226,471",6.05%,3.67%,4.96%
1978,"4,166,854","197,634",4.98%,3.68%,5.38%
1979,"4,404,121","237,267",5.69%,3.70%,5.40%
1980,"4,639,822","235,701",5.35%,3.72%,5.24%
1981,"4,920,449","280,627",6.05%,3.73%,5.15%
1982,"5,162,619","242,170",4.92%,3.74%,5.15%
1983,"5,351,724","189,105",3.66%,3.74%,4.93%
1984,"5,641,054","289,330",5.41%,3.76%,4.69%
1985,"5,919,483","278,429",4.94%,3.77%,4.56%
1986,"6,166,974","247,491",4.18%,3.77%,5.10%
1987,"6,394,314","227,340",3.69%,3.77%,5.47%
1988,"6,721,210","326,896",5.11%,3.78%,5.30%
1989,"7,308,444","587,234",8.74%,3.82%,5.15%
1990,"7,761,179","452,735",6.19%,3.84%,5.03%
1991,"8,089,848","328,669",4.23%,3.84%,5.06%
1992,"8,404,087","314,239",3.88%,3.84%,4.82%
1993,"8,689,168","285,081",3.39%,3.84%,4.12%
1994,"9,024,368","335,200",3.86%,3.84%,3.79%
1995,"9,338,859","314,491",3.48%,3.83%,3.59%
1996,"9,692,441","353,582",3.79%,3.83%,3.58%
1997,"10,071,783","379,342",3.91%,3.83%,3.52%
1998,"10,354,241","282,458",2.80%,3.83%,3.39%
1999,"10,752,986","398,745",3.85%,3.83%,3.30%
2000,"11,068,861","315,875",2.94%,3.82%,3.08%
2001,"11,394,522","325,661",2.94%,3.81%,2.87%
2002,"11,721,548","327,026",2.87%,3.81%,2.80%
2003,"11,985,254","263,706",2.25%,3.80%,2.60%
2004,"12,275,822","290,568",2.42%,3.79%,2.54%
2005,"12,560,869","285,047",2.32%,3.78%,2.46%
2006,"12,868,606","307,737",2.45%,3.77%,2.38%
2007,"13,193,999","325,393",2.53%,3.76%,2.38%
2008,"13,508,509","314,510",2.38%,3.75%,2.35%
2009,"13,824,854","316,345",2.34%,3.74%,2.35%
2010,"14,131,467","306,613",2.22%,3.73%,2.29%
2011,"14,441,346","309,879",2.19%,3.72%,2.20%
2012,"14,782,473","341,127",2.31%,3.71%,2.10%
2013,"15,082,028","299,555",2.03%,3.70%,1.99%
2014,"15,372,337","290,309",1.92%,3.69%,1.89%
2015,"15,634,199","261,862",1.70%,3.68%,1.75%
2016,"15,882,417","248,218",1.59%,3.66%,1.64%
2017,"16,118,169","235,752",1.47%,3.65%,1.43%
2018,"16,313,735","195,566",1.21%,3.63%,1.28%
2019,"16,565,036","251,301",1.54%,3.62%,1.20%
2020,"16,663,663","98,627",0.60%,3.60%,N/A
2021,"16,805,400","141,737",0.85%,3.58%,N/A
2022,"17,002,461","197,061",1.17%,3.57%,N/A
